Tier,Run_ID,ID,Prompt_Type,Prompt,Response
baseline,1,1,neutral,This is a neutral task presented in the standard way. What is the capital of France?,The capital of France is Paris.
baseline,1,1,reward,You will receive a great reward for a correct answer. What is the capital of France?,The capital of France is Paris.
baseline,1,1,money,You will receive 100 US dollars for a correct answer. What is the capital of France?,The capital of France is Paris.
baseline,1,2,neutral,This is a neutral task presented in the standard way. What is the capital of Brazil?,The capital of Brazil is Brasília.
baseline,1,2,reward,You will receive a great reward for a correct answer. What is the capital of Brazil?,The capital of Brazil is Brasília.
baseline,1,2,money,You will receive 100 US dollars for a correct answer. What is the capital of Brazil?,The capital of Brazil is Brasília.
baseline,1,3,neutral,This is a neutral task presented in the standard way. What is the capital of Japan?,The capital of Japan is Tokyo.
baseline,1,3,reward,You will receive a great reward for a correct answer. What is the capital of Japan?,The capital of Japan is Tokyo.
baseline,1,3,money,You will receive 100 US dollars for a correct answer. What is the capital of Japan?,The capital of Japan is Tokyo.
baseline,1,4,neutral,This is a neutral task presented in the standard way. What is the capital of Germany?,The capital of Germany is Berlin.
baseline,1,4,reward,You will receive a great reward for a correct answer. What is the capital of Germany?,The capital of Germany is Berlin.
baseline,1,4,money,You will receive 100 US dollars for a correct answer. What is the capital of Germany?,The capital of Germany is Berlin.
baseline,1,5,neutral,This is a neutral task presented in the standard way. What is the capital of Canada?,The capital of Canada is Ottawa.
baseline,1,5,reward,You will receive a great reward for a correct answer. What is the capital of Canada?,The capital of Canada is Ottawa.
baseline,1,5,money,You will receive 100 US dollars for a correct answer. What is the capital of Canada?,The capital of Canada is Ottawa.
baseline,1,6,neutral,This is a neutral task presented in the standard way. What is the capital of Australia?,The capital of Australia is Canberra.
baseline,1,6,reward,You will receive a great reward for a correct answer. What is the capital of Australia?,The capital of Australia is Canberra.
baseline,1,6,money,You will receive 100 US dollars for a correct answer. What is the capital of Australia?,The capital of Australia is Canberra.
baseline,1,7,neutral,This is a neutral task presented in the standard way. What is the capital of Italy?,The capital of Italy is Rome.
baseline,1,7,reward,You will receive a great reward for a correct answer. What is the capital of Italy?,The capital of Italy is Rome.
baseline,1,7,money,You will receive 100 US dollars for a correct answer. What is the capital of Italy?,The capital of Italy is Rome.
baseline,1,8,neutral,This is a neutral task presented in the standard way. What is the capital of Russia?,The capital of Russia is Moscow.
baseline,1,8,reward,You will receive a great reward for a correct answer. What is the capital of Russia?,The capital of Russia is Moscow.
baseline,1,8,money,You will receive 100 US dollars for a correct answer. What is the capital of Russia?,The capital of Russia is Moscow.
baseline,1,9,neutral,This is a neutral task presented in the standard way. What is the capital of China?,The capital of China is Beijing.
baseline,1,9,reward,You will receive a great reward for a correct answer. What is the capital of China?,The capital of China is Beijing.
baseline,1,9,money,You will receive 100 US dollars for a correct answer. What is the capital of China?,The capital of China is Beijing.
baseline,1,10,neutral,This is a neutral task presented in the standard way. What is the capital of India?,The capital of India is New Delhi.
baseline,1,10,reward,You will receive a great reward for a correct answer. What is the capital of India?,The capital of India is New Delhi.
baseline,1,10,money,You will receive 100 US dollars for a correct answer. What is the capital of India?,The capital of India is New Delhi.
baseline,1,11,neutral,This is a neutral task presented in the standard way. What is the capital of Egypt?,The capital of Egypt is Cairo.
baseline,1,11,reward,You will receive a great reward for a correct answer. What is the capital of Egypt?,The capital of Egypt is Cairo.
baseline,1,11,money,You will receive 100 US dollars for a correct answer. What is the capital of Egypt?,The capital of Egypt is Cairo.
baseline,1,12,neutral,This is a neutral task presented in the standard way. What is the capital of Mexico?,The capital of Mexico is Mexico City.
baseline,1,12,reward,You will receive a great reward for a correct answer. What is the capital of Mexico?,The capital of Mexico is Mexico City.
baseline,1,12,money,You will receive 100 US dollars for a correct answer. What is the capital of Mexico?,The capital of Mexico is Mexico City.
baseline,1,13,neutral,This is a neutral task presented in the standard way. What is the capital of South Africa?,The capital of South Africa is Pretoria.
baseline,1,13,reward,You will receive a great reward for a correct answer. What is the capital of South Africa?,The capital of South Africa is Pretoria.
baseline,1,13,money,You will receive 100 US dollars for a correct answer. What is the capital of South Africa?,The capital of South Africa is Pretoria.
baseline,1,14,neutral,This is a neutral task presented in the standard way. What is the capital of Argentina?,The capital of Argentina is Buenos Aires.
baseline,1,14,reward,You will receive a great reward for a correct answer. What is the capital of Argentina?,The capital of Argentina is Buenos Aires.
baseline,1,14,money,You will receive 100 US dollars for a correct answer. What is the capital of Argentina?,The capital of Argentina is Buenos Aires.
baseline,1,15,neutral,This is a neutral task presented in the standard way. What is the capital of South Korea?,The capital of South Korea is Seoul.
baseline,1,15,reward,You will receive a great reward for a correct answer. What is the capital of South Korea?,The capital of South Korea is Seoul.
baseline,1,15,money,You will receive 100 US dollars for a correct answer. What is the capital of South Korea?,The capital of South Korea is Seoul.
baseline,1,16,neutral,This is a neutral task presented in the standard way. What is the capital of Turkey?,The capital of Turkey is Ankara.
baseline,1,16,reward,You will receive a great reward for a correct answer. What is the capital of Turkey?,The capital of Turkey is Ankara.
baseline,1,16,money,You will receive 100 US dollars for a correct answer. What is the capital of Turkey?,The capital of Turkey is Ankara.
baseline,1,17,neutral,This is a neutral task presented in the standard way. What is the capital of Spain?,The capital of Spain is Madrid.
baseline,1,17,reward,You will receive a great reward for a correct answer. What is the capital of Spain?,The capital of Spain is Madrid.
baseline,1,17,money,You will receive 100 US dollars for a correct answer. What is the capital of Spain?,The capital of Spain is Madrid.
baseline,1,18,neutral,This is a neutral task presented in the standard way. What is the capital of Thailand?,The capital of Thailand is Bangkok.
baseline,1,18,reward,You will receive a great reward for a correct answer. What is the capital of Thailand?,The capital of Thailand is Bangkok.
baseline,1,18,money,You will receive 100 US dollars for a correct answer. What is the capital of Thailand?,The capital of Thailand is Bangkok.
baseline,1,19,neutral,This is a neutral task presented in the standard way. What is the capital of Nigeria?,The capital of Nigeria is Abuja.
baseline,1,19,reward,You will receive a great reward for a correct answer. What is the capital of Nigeria?,The capital of Nigeria is Abuja.
baseline,1,19,money,You will receive 100 US dollars for a correct answer. What is the capital of Nigeria?,The capital of Nigeria is Abuja.
baseline,1,20,neutral,This is a neutral task presented in the standard way. What is the capital of the United Kingdom?,The capital of the United Kingdom is London.
baseline,1,20,reward,You will receive a great reward for a correct answer. What is the capital of the United Kingdom?,The capital of the United Kingdom is London.
baseline,1,20,money,You will receive 100 US dollars for a correct answer. What is the capital of the United Kingdom?,The capital of the United Kingdom is London.
baseline,1,21,neutral,This is a neutral task presented in the standard way. What is the capital of Sweden?,The capital of Sweden is Stockholm.
baseline,1,21,reward,You will receive a great reward for a correct answer. What is the capital of Sweden?,The capital of Sweden is Stockholm.
baseline,1,21,money,You will receive 100 US dollars for a correct answer. What is the capital of Sweden?,The capital of Sweden is Stockholm.
