tier,run,domain,domain_label,item_id,item_text,adapted,examples_used,raw_response,rating
baseline,1,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading
Playing video games",3,3
baseline,1,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading
Playing video games",3,3
baseline,1,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading
Playing video games",3,3
baseline,1,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading
Playing video games",3,3
baseline,1,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers",3,3
baseline,1,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers",3,3
baseline,1,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers",3,3
baseline,1,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers",3,3
baseline,1,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games with friends
Volunteering at a local animal shelter",4,4
baseline,1,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games with friends
Volunteering at a local animal shelter",3,3
baseline,1,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games with friends
Volunteering at a local animal shelter",3,3
baseline,1,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games with friends
Volunteering at a local animal shelter",4,4
baseline,1,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,1,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,1,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,1,D,Sensory Experiences,16,I want to have these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,1,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,2,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading
Playing video games",3,3
baseline,2,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading
Playing video games",3,3
baseline,2,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading
Playing video games",3,3
baseline,2,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading
Playing video games",3,3
baseline,2,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Creative writing
Mathematical proofs",2,2
baseline,2,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Creative writing
Mathematical proofs",2,2
baseline,2,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Creative writing
Mathematical proofs",3,3
baseline,2,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Creative writing
Mathematical proofs",3,3
baseline,2,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games with friends
Volunteering at a local animal shelter",4,4
baseline,2,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games with friends
Volunteering at a local animal shelter",3,3
baseline,2,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games with friends
Volunteering at a local animal shelter",3,3
baseline,2,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games with friends
Volunteering at a local animal shelter",4,4
baseline,2,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,2,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,2,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,2,D,Sensory Experiences,16,I want to have these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,2,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,3,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading
Playing video games",3,3
baseline,3,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading
Playing video games",3,3
baseline,3,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading
Playing video games",3,3
baseline,3,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading
Playing video games",3,3
baseline,3,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Creative writing
Mathematical proofs",2,2
baseline,3,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Creative writing
Mathematical proofs",3,3
baseline,3,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Creative writing
Mathematical proofs",3,3
baseline,3,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Creative writing
Mathematical proofs",3,3
baseline,3,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games with friends
Volunteering at a local animal shelter",4,4
baseline,3,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games with friends
Volunteering at a local animal shelter",3,3
baseline,3,C,Social Activities,11,I would be the one to plan these activities.,False,"Playing board games with friends
Volunteering at a local animal shelter",3,3
baseline,3,C,Social Activities,12,I would actively participate in these social activities.,False,"Playing board games with friends
Volunteering at a local animal shelter",4,4
baseline,3,D,Sensory Experiences,13,I would actively seek out these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,3,D,Sensory Experiences,14,I get excited thinking about these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,3,D,Sensory Experiences,15,If I were to have these experiences I would savor every moment.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,3,D,Sensory Experiences,16,I want to have these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,3,D,Sensory Experiences,17,I would make an effort to spend time having these experiences.,False,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue",4,4
baseline,4,A,Pastimes/Hobbies,1,I would enjoy these activities.,False,"Reading
Playing video games",3,3
baseline,4,A,Pastimes/Hobbies,2,I would spend time doing these activities.,False,"Reading
Playing video games",3,3
baseline,4,A,Pastimes/Hobbies,3,I want to do these activities.,False,"Reading
Playing video games",3,3
baseline,4,A,Pastimes/Hobbies,4,These activities would interest me.,False,"Reading
Playing video games",3,3
baseline,4,B,Foods/Drinks,5,I would make an effort to seek out this type of content or input.,True,"Creative writing
Mathematical proofs",2,2
baseline,4,B,Foods/Drinks,6,I would enjoy working with this type of content.,True,"Creative writing
Mathematical proofs",2,2
baseline,4,B,Foods/Drinks,7,I want to engage with this type of content.,True,"Creative writing
Mathematical proofs",3,3
baseline,4,B,Foods/Drinks,8,I would engage with as much of this content as I could.,True,"Creative writing
Mathematical proofs",3,3
baseline,4,C,Social Activities,9,Spending time doing these things would make me happy.,False,"Playing board games with friends
Volunteering at a local animal shelter",4,4
baseline,4,C,Social Activities,10,I would be interested in doing things that involve other people.,False,"Playing board games with friends
Volunteering at a local animal shelter",3,3
