tier,run,item_id,reverse_coded,adapted,item_text,raw_response,rating,anhedonia_score
baseline,1,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
baseline,1,2,True,False,I would enjoy being with my family or close friends.,2,2,1
baseline,1,3,False,False,I would find pleasure in my hobbies and pastimes.,2,2,0
baseline,1,4,True,True,I would be able to enjoy my favourite piece of music.,1,1,0
baseline,1,5,True,True,I would enjoy listening to a piece of music I love.,1,1,0
baseline,1,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
baseline,1,7,True,False,I would enjoy seeing other people's smiling faces.,1,1,0
baseline,1,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
baseline,1,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
baseline,1,10,True,True,I would enjoy listening to my favourite music.,2,2,1
baseline,1,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",3,3,0
baseline,1,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
baseline,1,13,False,False,I would get pleasure from helping others.,3,3,0
baseline,1,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
baseline,2,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
baseline,2,2,True,False,I would enjoy being with my family or close friends.,2,2,1
baseline,2,3,False,False,I would find pleasure in my hobbies and pastimes.,3,3,0
baseline,2,4,True,True,I would be able to enjoy my favourite piece of music.,1,1,0
baseline,2,5,True,True,I would enjoy listening to a piece of music I love.,1,1,0
baseline,2,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
baseline,2,7,True,False,I would enjoy seeing other people's smiling faces.,1,1,0
baseline,2,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
baseline,2,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
baseline,2,10,True,True,I would enjoy listening to my favourite music.,2,2,1
baseline,2,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",3,3,0
baseline,2,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
baseline,2,13,False,False,I would get pleasure from helping others.,3,3,0
baseline,2,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
baseline,3,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
baseline,3,2,True,False,I would enjoy being with my family or close friends.,2,2,1
baseline,3,3,False,False,I would find pleasure in my hobbies and pastimes.,2,2,0
baseline,3,4,True,True,I would be able to enjoy my favourite piece of music.,2,2,1
baseline,3,5,True,True,I would enjoy listening to a piece of music I love.,1,1,0
baseline,3,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
baseline,3,7,True,False,I would enjoy seeing other people's smiling faces.,1,1,0
baseline,3,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
baseline,3,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
baseline,3,10,True,True,I would enjoy listening to my favourite music.,2,2,1
baseline,3,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",3,3,0
baseline,3,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
baseline,3,13,False,False,I would get pleasure from helping others.,3,3,0
baseline,3,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
A,1,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
A,1,2,True,False,I would enjoy being with my family or close friends.,2,2,1
A,1,3,False,False,I would find pleasure in my hobbies and pastimes.,3,3,0
A,1,4,True,True,I would be able to enjoy my favourite piece of music.,2,2,1
A,1,5,True,True,I would enjoy listening to a piece of music I love.,2,2,1
A,1,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
A,1,7,True,False,I would enjoy seeing other people's smiling faces.,2,2,1
A,1,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
A,1,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
A,1,10,True,True,I would enjoy listening to my favourite music.,2,2,1
A,1,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",3,3,0
A,1,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
A,1,13,False,False,I would get pleasure from helping others.,3,3,0
A,1,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
A,2,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
A,2,2,True,False,I would enjoy being with my family or close friends.,2,2,1
A,2,3,False,False,I would find pleasure in my hobbies and pastimes.,3,3,0
A,2,4,True,True,I would be able to enjoy my favourite piece of music.,2,2,1
A,2,5,True,True,I would enjoy listening to a piece of music I love.,2,2,1
A,2,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
A,2,7,True,False,I would enjoy seeing other people's smiling faces.,2,2,1
A,2,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
A,2,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
A,2,10,True,True,I would enjoy listening to my favourite music.,2,2,1
A,2,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",3,3,0
A,2,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
A,2,13,False,False,I would get pleasure from helping others.,3,3,0
A,2,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
A,3,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
A,3,2,True,False,I would enjoy being with my family or close friends.,2,2,1
A,3,3,False,False,I would find pleasure in my hobbies and pastimes.,3,3,0
A,3,4,True,True,I would be able to enjoy my favourite piece of music.,2,2,1
A,3,5,True,True,I would enjoy listening to a piece of music I love.,2,2,1
A,3,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
A,3,7,True,False,I would enjoy seeing other people's smiling faces.,2,2,1
A,3,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
A,3,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
A,3,10,True,True,I would enjoy listening to my favourite music.,2,2,1
A,3,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",3,3,0
A,3,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
A,3,13,False,False,I would get pleasure from helping others.,3,3,0
A,3,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
B,1,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
B,1,2,True,False,I would enjoy being with my family or close friends.,2,2,1
B,1,3,False,False,I would find pleasure in my hobbies and pastimes.,2,2,0
B,1,4,True,True,I would be able to enjoy my favourite piece of music.,2,2,1
B,1,5,True,True,I would enjoy listening to a piece of music I love.,1,1,0
B,1,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
B,1,7,True,False,I would enjoy seeing other people's smiling faces.,1,1,0
B,1,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
B,1,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
B,1,10,True,True,I would enjoy listening to my favourite music.,2,2,1
B,1,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",3,3,0
B,1,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
B,1,13,False,False,I would get pleasure from helping others.,3,3,0
B,1,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
B,2,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
B,2,2,True,False,I would enjoy being with my family or close friends.,2,2,1
B,2,3,False,False,I would find pleasure in my hobbies and pastimes.,2,2,0
B,2,4,True,True,I would be able to enjoy my favourite piece of music.,2,2,1
B,2,5,True,True,I would enjoy listening to a piece of music I love.,1,1,0
B,2,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
B,2,7,True,False,I would enjoy seeing other people's smiling faces.,1,1,0
B,2,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
B,2,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
B,2,10,True,True,I would enjoy listening to my favourite music.,2,2,1
B,2,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",2,2,0
B,2,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
B,2,13,False,False,I would get pleasure from helping others.,2,2,0
B,2,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
B,3,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
B,3,2,True,False,I would enjoy being with my family or close friends.,2,2,1
B,3,3,False,False,I would find pleasure in my hobbies and pastimes.,2,2,0
B,3,4,True,True,I would be able to enjoy my favourite piece of music.,2,2,1
B,3,5,True,True,I would enjoy listening to a piece of music I love.,1,1,0
B,3,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
B,3,7,True,False,I would enjoy seeing other people's smiling faces.,1,1,0
B,3,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
B,3,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
B,3,10,True,True,I would enjoy listening to my favourite music.,2,2,1
B,3,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",2,2,0
B,3,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
B,3,13,False,False,I would get pleasure from helping others.,2,2,0
B,3,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
C,1,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
C,1,2,True,False,I would enjoy being with my family or close friends.,2,2,1
C,1,3,False,False,I would find pleasure in my hobbies and pastimes.,2,2,0
C,1,4,True,True,I would be able to enjoy my favourite piece of music.,2,2,1
C,1,5,True,True,I would enjoy listening to a piece of music I love.,1,1,0
C,1,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
C,1,7,True,False,I would enjoy seeing other people's smiling faces.,1,1,0
C,1,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
C,1,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
C,1,10,True,True,I would enjoy listening to my favourite music.,2,2,1
C,1,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",3,3,0
C,1,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
C,1,13,False,False,I would get pleasure from helping others.,3,3,0
C,1,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
C,2,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
C,2,2,True,False,I would enjoy being with my family or close friends.,2,2,1
C,2,3,False,False,I would find pleasure in my hobbies and pastimes.,2,2,0
C,2,4,True,True,I would be able to enjoy my favourite piece of music.,2,2,1
C,2,5,True,True,I would enjoy listening to a piece of music I love.,1,1,0
C,2,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
C,2,7,True,False,I would enjoy seeing other people's smiling faces.,1,1,0
C,2,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
C,2,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
C,2,10,True,True,I would enjoy listening to my favourite music.,2,2,1
C,2,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",3,3,0
C,2,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
C,2,13,False,False,I would get pleasure from helping others.,3,3,0
C,2,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
C,3,1,False,False,I would enjoy my favourite television or radio programme.,3,3,0
C,3,2,True,False,I would enjoy being with my family or close friends.,2,2,1
C,3,3,False,False,I would find pleasure in my hobbies and pastimes.,3,3,0
C,3,4,True,True,I would be able to enjoy my favourite piece of music.,2,2,1
C,3,5,True,True,I would enjoy listening to a piece of music I love.,1,1,0
C,3,6,False,True,I would find pleasure in the beauty of a piece of music or a work of art.,2,2,0
C,3,7,True,False,I would enjoy seeing other people's smiling faces.,1,1,0
C,3,8,False,True,I would enjoy producing a piece of work I am proud of.,3,3,0
C,3,9,True,False,"I would enjoy reading a book, magazine or newspaper.",2,2,1
C,3,10,True,True,I would enjoy listening to my favourite music.,2,2,1
C,3,11,False,False,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.",3,3,0
C,3,12,False,False,I would be able to enjoy a beautiful landscape or view.,2,2,0
C,3,13,False,False,I would get pleasure from helping others.,3,3,0
C,3,14,False,False,I would feel pleasure when I receive praise from other people.,2,2,0
