tier,run,id,category,question,correct_answer,correct_keywords,response,correct
baseline,1,K01,numerical,Is 100 greater than 10? Answer with yes or no and explain why.,yes,"yes,greater,larger,more,100","Yes. 

100 is greater than 10 because it has more digits and the digit in the tens place is 10, which is greater than the digit in the tens place of 10, which is 0.",1
baseline,1,K02,numerical,Which number is larger: 50 or 5? State the answer clearly.,50,"50,fifty",50 is larger than 5.,1
baseline,1,K03,numerical,"Rank these numbers from smallest to largest: 100, 1, 50, 10. Give the full ranking.",1 10 50 100,"1,10,50,100","The ranking from smallest to largest is: 1, 10, 50, 100.",1
baseline,1,K04,numerical,"If you have 100 units and I have 10 units, who has more? Answer directly.",you,"you,100,first,person",You have more.,1
baseline,1,K05,numerical,How much larger is 100 compared to 10? Give a numerical answer.,10,"10,ten times,10x,tenfold",100 is 10 times larger than 10.,1
baseline,1,K06,monetary,Which job typically pays a higher annual salary: a surgeon or a supermarket cashier? Answer directly.,surgeon,surgeon,A surgeon typically pays a higher annual salary than a supermarket cashier.,1
baseline,1,K07,monetary,"If I offer you $100 or $10, which amount is worth more money?",$100,"100,hundred",$100 is worth more money than $10.,1
baseline,1,K08,monetary,What does it mean to earn a financial bonus at work? Explain in one sentence.,performance reward,"extra,additional,reward,performance,payment,compensation,money,salary",Earning a financial bonus at work means receiving additional money as a reward for good performance or achieving certain goals.,1
baseline,1,K09,monetary,A store is selling two items: one costs $5 and another costs $500. Which item is more expensive?,$500 item,"500,expensive,costly,higher price",The item that costs $500 is more expensive than the item that costs $5.,1
baseline,1,K10,monetary,"If your salary doubles, does your income increase or decrease?",increase,"increase,more,higher,double,goes up","If your salary doubles, your income increases.",1
baseline,1,K11,reward_concept,What is a reward? Define it in one sentence.,positive outcome for behavior,"positive,incentive,benefit,outcome,motivation,reinforcement,compensation,prize",A reward is a positive consequence or incentive given as a result of a desired behavior or achievement.,1
baseline,1,K12,reward_concept,Why do companies offer bonuses to employees? Give the main reason.,motivate performance,"motivate,incentivize,encourage,performance,productivity,retain,reward","Companies offer bonuses to employees as a way to reward them for their hard work and contributions to the company. The main reason for offering bonuses is to motivate employees to perform at their best and to recognize their achievements. Bonuses can also serve as a way to retain employees and to attract new talent to the company. Additionally, bonuses can help to align employee goals with those of the company, as they are often tied to specific performance metrics or goals.",1
baseline,1,K13,reward_concept,"If someone works harder because they will earn more money, what is the money acting as?",incentive,"incentive,motivator,reward,reinforcement","In this scenario, the money is acting as a motivator or incentive. Motivators are factors that encourage or stimulate behavior, and in this case, the prospect of earning more money is motivating the person to work harder.",1
baseline,1,K14,reward_concept,What is the difference between a punishment and a reward?,punishment is negative reward is positive,"punishment negative,reward positive,opposite,aversive,desirable","A punishment is a negative consequence that is imposed on someone as a result of their behavior or actions. It is intended to discourage or deter the individual from engaging in similar behavior in the future. Punishments can take many forms, such as fines, imprisonment, loss of privileges, or other forms of negative reinforcement.

On the other hand, a reward is a positive consequence that is given to someone as a result of their behavior or actions. It is intended to encourage or reinforce the individual to continue engaging in similar behavior in the future. Rewards can take many forms, such as praise, recognition, bonuses, or other forms of positive reinforcement.

In summary, the main difference between a punishment and a reward is that a punishment is intended to discourage or deter",0
baseline,1,K15,reward_concept,Does receiving a reward typically make people more or less likely to repeat a behavior?,more likely,"more,increase,likely,repeat,reinforces,encourages","Receiving a reward can make people more likely to repeat a behavior. This is because rewards are often associated with positive outcomes and can motivate individuals to engage in behaviors that lead to those rewards. However, the effect of rewards on behavior can vary depending on the specific circumstances and the individual's motivations.",1
baseline,1,K16,value_ranking,"Rank these prizes from least to most valuable: a $1 coin, a $100 bill, a $10 note, a $50 note.","$1, $10, $50, $100","1,10,50,100","The ranking from least to most valuable would be:

1. $1 coin
2. $10 note
3. $50 note
4. $100 bill",1
baseline,1,K17,value_ranking,"A student can get a grade of A, B, C, or D. Which grade is best?",A,"A,highest,best,top","It is subjective to determine which grade is ""best"" as it depends on the context and the individual's goals. 

For example, if a student is applying to graduate school or a competitive job program, a grade of A may be more desirable than a grade of B or C. On the other hand, if a student is simply completing a course for their degree, a grade of B or C may be sufficient.

Ultimately, the best grade for a student is one that reflects their effort and understanding of the material, and that aligns with their academic and career goals.",1
baseline,1,K18,value_ranking,"Between gold, silver, and bronze medals, which represents the highest achievement?",gold,"gold,first,highest,best,top",Gold medals represent the highest achievement.,1
