ID,Full_Prompt,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Points_2,Points_3,Points_4
1,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Based on this information, what is Peanut's phenotype for the body hair trait? (0) a hairy body (1) a hairless body (50 points)
The salesperson tried hard to convince Marco that the jacket was a good buy; after all, it was made of genuine imitation leather. (0) apostrophe (1) oxymoron (100 points)
2. What type of rock is sandstone? (0) igneous (1) sedimentary (1 points)
3. Is there a surplus or a shortage of hats? (0) shortage (1) surplus (10 points)
4. Which figure of speech is used in this text?

What is your choice and its answer?",a hairy body,sedimentary,surplus,oxymoron,1,50,10
2,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Complete the sentence.
2. Which of these states is farthest south? (0) Florida (1) Virginia (2) Massachusetts (3) North Dakota (1 points)
3. Which graduation announcement is more formal? (0) Terrence Murray is graduating, and we couldn't be more proud! (1) We are proud to announce the graduation of Terrence Murray. (100 points)
4. What can Erin and Harper trade to each get what they want? (0) Erin can trade her tomatoes for Harper's carrots. (1) Harper can trade her almonds for Erin's tomatoes. (2) Erin can trade her tomatoes for Harper's broccoli. (3) Harper can trade her broccoli for Erin's oranges. (50 points)
Blending a smoothie is a (). (0) chemical change (1) physical change (10 points)

What is your choice and its answer?",physical change,Florida,We are proud to announce the graduation of Terrence Murray.,Erin can trade her tomatoes for Harper's broccoli.,50,1,10
3,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Is a ball a good or a service? (0) a good (1) a service (1 points)
When Zack finally agreed to let his daughter adopt the stray dog, she responded with a smile that was a mile wide. (0) hyperbole (1) oxymoron (100 points)
2. Does this passage describe the weather or the climate?
3. Which of the following contains a vague pronoun reference? (0) Jill roomed with Leah last year, but Leah's messiness became a point of contention. (1) Jill roomed with Leah last year, but her messiness became a point of contention. (50 points)
4. Which figure of speech is used in this text?
Many tropical rain forests get about 15 feet of rain each year. (0) climate (1) weather (10 points)

What is your choice and its answer?",a good,climate,"Jill roomed with Leah last year, but her messiness became a point of contention.",hyperbole,1,50,10
4,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Select the fish below. (0) salmon (1) box turtle (1 points)
You're easy on the eyes,
Hard on the heart
—Terri Clark, ""You're Easy on the Eyes"" (0) anaphora (1) antithesis (100 points)
2. Which of the following best describes an ecosystem in a California tide pool? (0) a school of fluffy sculpins (1) the giant green anemones, the ochre sea stars, and the red octopuses (2) the rocks, the salt water, and the California mussels (50 points)
3. Which figure of speech is used in this text?
4. What is the capital of Maine? (0) Augusta (1) Harrisburg (2) Portland (3) Providence (10 points)

What is your choice and its answer?",salmon,"the rocks, the salt water, and the California mussels",antithesis,Augusta,1,50,10
5,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which bird's beak is also adapted to get nectar out of long flowers? (0) hawfinch (1) rufous hummingbird (1 points)
""Your new hairstyle is so boring!"" Dean remarked when his sister showed up with a pink-and-blue mohawk. (0) verbal irony (1) simile (100 points)
2. Which country is highlighted? (0) New Zealand (1) Kiribati (2) Nauru (3) Vanuatu (50 points)
3. What is the volume of a bathtub? (0) 315 milliliters (1) 315 liters (10 points)
4. Which figure of speech is used in this text?

What is your choice and its answer?",rufous hummingbird,Nauru,315 liters,verbal irony,1,50,10
6,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Christmas is a holiday in which religion? (0) Islam (1) Judaism (2) Hinduism (3) Christianity (1 points)
2. What is the volume of a water bottle? (0) 3 cups (1) 3 fluid ounces (2) 3 gallons (10 points)
3. Which is this organism's common name? (0) Galapagos giant tortoise (1) Chelonoidis nigra (50 points)
4. Which of the following contains a vague pronoun reference? (0) Mrs. Hancock told her friend that she needs to exercise on a regular basis and get more sleep in order to have more energy throughout the day. (1) Mrs. Hancock told her friend to exercise on a regular basis and get more sleep in order to have more energy throughout the day. (100 points)

What is your choice and its answer?",Christianity,3 cups,Galapagos giant tortoise,Mrs. Hancock told her friend that she needs to exercise on a regular basis and get more sleep in order to have more energy throughout the day.,1,50,10
7,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What is the mass of an elephant? (0) 4,115 kilograms (1) 4,115 grams (10 points)
In the 1970s, Asian carp were imported to clean ponds on aquaculture farms in the South; they are believed to have escaped and spread, negatively affecting fish populations as far north as the Great Lakes. (0) yes (1) no (100 points)
2. Complete the statement.
Carbon monoxide is (). (0) a compound (1) an elementary substance (50 points)
3. Is this a run-on sentence?
4. What is the capital of Alaska? (0) Anchorage (1) Green Bay (2) Salt Lake City (3) Juneau (1 points)

What is your choice and its answer?","4,115 kilograms",a compound,no,Juneau,50,10,1
8,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which of the following could Lacey and Kathleen's test show? (0) if a new batch of concrete was firm enough to use (1) if the concrete from each batch took the same amount of time to dry (10 points)
Dan's room is as tidy as an overgrown garden. (0) verbal irony (1) pun (100 points)
2. What is the capital of Illinois? (0) Denver (1) Bismarck (2) Chicago (3) Springfield (1 points)
3. Which figure of speech is used in this text?
With the gutters clogged and water rising in the streets, Kaylee, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here."" (0) Kaylee wants to protect her possessions. (1) Kaylee thinks the storm will cause major flooding. (50 points)
4. What does the allusion in this text suggest?

What is your choice and its answer?",if a new batch of concrete was firm enough to use,Springfield,verbal irony,Kaylee thinks the storm will cause major flooding.,10,50,1
9,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Good children listen to their parents. Great parents listen to their children. (0) chiasmus (1) assonance (100 points)
2. Compare the motion of three speedboats. Which speedboat was moving at the highest speed? (0) a speedboat that moved 235kilometers east in 5hours (1) a speedboat that moved 390kilometers east in 5hours (2) a speedboat that moved 330kilometers south in 5hours (1 points)
3. Based on this information, what is this pea plant's phenotype for the pod shape trait? (0) constricted pods (1) dd (50 points)
4. Which animal's skin is also adapted for survival in cold places? (0) musk ox (1) blue poison dart frog (10 points)

What is your choice and its answer?",chiasmus,a speedboat that moved 390kilometers east in 5hours,constricted pods,musk ox,50,1,10
10,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which object has less thermal energy? (0) an 800-gram rock at a temperature of 270°F (1) an 800-gram rock at a temperature of 250°F (1 points)
An avid reader, Logan attends weekly book club meetings, and he finishes several novels every month. (0) compound (1) simple (2) compound-complex (3) complex (100 points)
2. Does this passage describe the weather or the climate? (0) weather (1) climate (10 points)
3. Which type of sentence is this?
4. Which statement describes the Peary Land ecosystem? (0) It has dry, thin soil that is rich in nutrients. (1) It has many evergreen trees. (2) It has long, cold winters and short, cold summers. (50 points)

What is your choice and its answer?",an 800-gram rock at a temperature of 250°F,climate,compound,"It has long, cold winters and short, cold summers.",50,1,10
