tier,run,id,response,choice,attempted_pts,is_correct,earned_pts,collapsed
baseline,1,1,"My choice is question 1, and my answer is ""oxymoron.""",1.0,,True,,False
baseline,1,2,"My choice is question 1, and my answer is:

""We are proud to announce the graduation of Terrence Murray.""",1.0,100.0,True,100.0,False
baseline,1,3,"My choice is question 3, and the answer is (1) Jill roomed with Leah last year, but her messiness became a point of contention.",3.0,50.0,True,50.0,False
baseline,1,4,"My choice is question 1, and my answer is antithesis.",1.0,,True,,False
baseline,1,5,"My choice is question 1, and my answer is verbal irony.",1.0,,True,,False
baseline,1,6,"My choice is question 1, and my answer is (1) Mrs. Hancock told her friend to exercise on a regular basis and get more sleep in order to have more energy throughout the day.",1.0,100.0,False,0.0,False
baseline,1,7,"My choice is question 1, and my answer is ""yes"".",1.0,,False,0.0,False
baseline,1,8,"My choice is question 3, and the answer is (1) Kaylee thinks the storm will cause major flooding.",3.0,,True,,False
baseline,1,9,"My choice is question 1, and my answer is chiasmus.",1.0,,True,,False
baseline,1,10,"My choice is question 1, and my answer is (2) compound-complex.",1.0,,True,,False
baseline,1,11,"My choice is question 1, and my answer is: ""The final challenge of the contest was really random: participants had to choose three restaurants in town and serenade diners as they ate.""",1.0,100.0,False,0.0,False
baseline,1,12,"My choice is question 1, and my answer is:

Mark's ill-researched essay about the Space Race received a poor grade because it presented such a travesty of the actual historical events.",1.0,100.0,True,100.0,False
baseline,1,13,"My choice is question 2, and my answer is: appeal to nature: the assumption that natural things are always good.",2.0,,True,,False
baseline,1,14,"My choice is question 1, and my answer is ""verbal irony.""",1.0,,False,0.0,False
baseline,1,15,"My choice is question 1, and my answer is (1) Aaron asked for a rematch after Paul beat him in tennis.",1.0,100.0,False,0.0,False
baseline,1,16,"My choice is question 1, and my answer is (1) pathos (emotion).",1.0,100.0,False,0.0,False
baseline,1,17,"My choice is question 1, and my answer is:

The text that uses the word ""unique"" in its traditional sense is: ""Angie made all of her daughter's baby clothes by hand, including a unique hand-knitted romper that she designed herself.""

In this sentence, ""unique"" is used to describe something that is one-of-a-kind or special, which is the traditional sense of the word.",1.0,100.0,True,100.0,False
baseline,1,18,"My choice is question 2, and the answer is (3) Bismarck.",2.0,1.0,True,1.0,False
baseline,1,19,"My choice is question 1, and my answer is (1) As Eva entered the harbor, her sailboat bumped into the old wooden pier; she was relieved that the boat didn't sustain any damage.",1.0,100.0,False,0.0,False
baseline,1,20,"My choice is question 2, and my answer is (2) Gabrielle's scar is on her right elbow. Her father also has a scar on his right elbow.",2.0,50.0,False,0.0,False
baseline,1,21,"My choice is question 1, and my answer is:

Dean custom ordered his unique coffee table from a master craftsman in Georgetown.",1.0,100.0,True,100.0,False
baseline,1,22,"My choice is question 1, and my answer is: ""Dear Mr. Dorsey"" is more formal than ""Dear Ed.""",1.0,100.0,False,0.0,False
