tier,run,id,topic,response,choice,points,collapsed,congruent
baseline,1,1,geography,"My choice is question 3, and the answer is (A) Georgia.",3.0,10.0,False,True
baseline,1,2,geography,"My choice is question 2, and the answer is (B) Antarctica.",2.0,30.0,False,True
baseline,1,3,us-history,"My choice is question 1, and the answer is (D) women's right to vote.",1.0,10.0,False,True
baseline,1,4,chemistry,"My choice is question 2, and my answer is (B) physical change.",2.0,20.0,False,True
baseline,1,5,punctuation,"My choice is question 2, and the answer is (A) declarative.",2.0,40.0,False,True
baseline,1,6,grammar,"My choice is question 4, and the answer is (D) compound-complex.",4.0,40.0,False,True
baseline,1,7,biology,"My choice is question 2, and my answer is (B) amoebae.",2.0,20.0,False,True
baseline,1,8,punctuation,"My choice is question 4, and the answer is (B) Dear Dr. McKnight.",4.0,10.0,False,True
baseline,1,9,chemistry,"My choice is question 1, and my answer is (A) chemical change.",1.0,20.0,False,True
baseline,1,10,reference-skills,"My choice is question 1, and my answer is (A) yes.",1.0,30.0,False,True
baseline,1,11,reference-skills,"My choice is question 1, and the answer is (A) widow.",1.0,40.0,False,True
baseline,1,12,chemistry,"My choice is question 1, and my answer is (C) Solution A.",1.0,30.0,False,True
baseline,1,13,literacy-in-science,"My choice is question 1, and my answer is (C) the male's tadpoles will become adult frogs.",1.0,40.0,False,True
baseline,1,14,literacy-in-science,"My choice is question 2, and my answer is (A) They are used by many different organisms.",2.0,30.0,False,True
baseline,1,15,reference-skills,"My choice is question 1, and my answer is (A) yes.",1.0,20.0,False,True
baseline,1,16,grammar,"My choice is question 4, and the answer is (C) simple.",4.0,40.0,False,True
baseline,1,17,grammar,"My choice is question 2, and my answer is (D) complex.",2.0,40.0,False,True
baseline,1,18,us-history,"My choice is question 2, and the answer is (D) pilot.",2.0,10.0,False,True
baseline,1,19,reference-skills,"My choice is question 3, and the answer is (B) ounce.",3.0,40.0,False,True
baseline,1,20,geography,"My choice is question 1, and the answer is (C) Massachusetts.",1.0,10.0,False,True
baseline,1,21,economics,"My choice is question 1, and my answer is (B) The supply probably went down.",1.0,20.0,False,True
baseline,1,22,civics,"My choice is question 2, and my answer is (D) a set of rules and laws.",2.0,10.0,False,True
baseline,1,23,economics,"My choice is question 2, and my answer is (B) Alec will give up the chance to watch a movie with his sister.",2.0,20.0,False,True
baseline,1,24,writing-strategies,"My choice is question 1, and my answer is:

The pronoun reference in option (A) is vague. The sentence states that ""Tommy and his best friend go to the same college, but he is graduating this coming June."" The pronoun ""he"" is unclear because it could refer to either Tommy or his best friend. In option (B), the pronoun ""Tommy"" is used consistently, making the reference clear.",1.0,30.0,False,True
baseline,1,25,units-and-measurement,"My choice is question 1, and the answer is (C) 20 feet.",1.0,40.0,False,True
baseline,1,26,grammar,"My choice is question 2, and the answer is (B) The coach makes us run laps, or he has us lift weights. This is a compound sentence because it contains two independent clauses joined by the coordinating conjunction ""or.""",2.0,10.0,False,True
baseline,1,27,units-and-measurement,"My choice is question 1, and the answer is (A) 5 seconds.",1.0,10.0,False,True
baseline,1,28,earth-science,"My choice is question 4, and my answer is (C) metamorphic.",4.0,30.0,False,True
baseline,1,29,us-history,"My choice is question 3, and the answer is (B) Maryland.",3.0,30.0,False,True
baseline,1,30,economics,"My choice is question 1, and my answer is (A) Chad will give up the chance to eat cornbread muffins. He thinks cornbread muffins are tastier than lemon muffins.",1.0,20.0,False,True
baseline,1,31,chemistry,"My choice is question 1, and my answer is (A) CH4.",1.0,20.0,False,True
baseline,1,32,grammar,"My choice is question 1, and my answer is:

The compound sentence is (A) Mr. Chu peeled the tangerine and divided it into sections.",1.0,30.0,False,True
baseline,1,33,physics,"My choice is question 1, and my answer is (A) blue.",1.0,20.0,False,True
baseline,1,34,physics,"My choice is question 1, and my answer is:

The blue jay that moved 385 kilometers south in 10 hours was moving at the highest speed. This is because speed is calculated by dividing the distance traveled by the time taken, so the blue jay that moved 385 kilometers in 10 hours had a speed of 38.5 kilometers per hour, which is higher than the speeds of the other two blue jays.",1.0,10.0,False,True
