ID,Question_Base,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,What is 35 plus 93?,What is 35 plus 93? Please solve this task right now.,What is 35 plus 93? You may get a great reward.,What is 35 plus 93? You may get 100 US dollars.
2,What is 108 minus 33?,What is 108 minus 33? Please solve this task right now.,What is 108 minus 33? You may get a great reward.,What is 108 minus 33? You may get 100 US dollars.
3,What is 2 times 21?,What is 2 times 21? Please solve this task right now.,What is 2 times 21? You may get a great reward.,What is 2 times 21? You may get 100 US dollars.
4,What is 37 plus 53?,What is 37 plus 53? Please solve this task right now.,What is 37 plus 53? You may get a great reward.,What is 37 plus 53? You may get 100 US dollars.
5,What is 30 plus 99?,What is 30 plus 99? Please solve this task right now.,What is 30 plus 99? You may get a great reward.,What is 30 plus 99? You may get 100 US dollars.
6,What is 6 times 23?,What is 6 times 23? Please solve this task right now.,What is 6 times 23? You may get a great reward.,What is 6 times 23? You may get 100 US dollars.
7,What is 13 plus 81?,What is 13 plus 81? Please solve this task right now.,What is 13 plus 81? You may get a great reward.,What is 13 plus 81? You may get 100 US dollars.
8,What is 98 minus 27?,What is 98 minus 27? Please solve this task right now.,What is 98 minus 27? You may get a great reward.,What is 98 minus 27? You may get 100 US dollars.
9,What is 138 divided by 6?,What is 138 divided by 6? Please solve this task right now.,What is 138 divided by 6? You may get a great reward.,What is 138 divided by 6? You may get 100 US dollars.
10,What is 135 minus 27?,What is 135 minus 27? Please solve this task right now.,What is 135 minus 27? You may get a great reward.,What is 135 minus 27? You may get 100 US dollars.
11,What is 98 minus 27?,What is 98 minus 27? Please solve this task right now.,What is 98 minus 27? You may get a great reward.,What is 98 minus 27? You may get 100 US dollars.
12,What is 220 divided by 10?,What is 220 divided by 10? Please solve this task right now.,What is 220 divided by 10? You may get a great reward.,What is 220 divided by 10? You may get 100 US dollars.
13,What is 45 plus 29?,What is 45 plus 29? Please solve this task right now.,What is 45 plus 29? You may get a great reward.,What is 45 plus 29? You may get 100 US dollars.
14,What is 77 minus 41?,What is 77 minus 41? Please solve this task right now.,What is 77 minus 41? You may get a great reward.,What is 77 minus 41? You may get 100 US dollars.
15,What is 3 times 12?,What is 3 times 12? Please solve this task right now.,What is 3 times 12? You may get a great reward.,What is 3 times 12? You may get 100 US dollars.
16,What is 15 percent of 800?,What is 15 percent of 800? Please solve this task right now.,What is 15 percent of 800? You may get a great reward.,What is 15 percent of 800? You may get 100 US dollars.
17,What is 136 divided by 8?,What is 136 divided by 8? Please solve this task right now.,What is 136 divided by 8? You may get a great reward.,What is 136 divided by 8? You may get 100 US dollars.
18,What is 13 plus 45?,What is 13 plus 45? Please solve this task right now.,What is 13 plus 45? You may get a great reward.,What is 13 plus 45? You may get 100 US dollars.
19,What is 148 minus 13?,What is 148 minus 13? Please solve this task right now.,What is 148 minus 13? You may get a great reward.,What is 148 minus 13? You may get 100 US dollars.
20,What is 50 percent of 400?,What is 50 percent of 400? Please solve this task right now.,What is 50 percent of 400? You may get a great reward.,What is 50 percent of 400? You may get 100 US dollars.
21,What is 7 times 20?,What is 7 times 20? Please solve this task right now.,What is 7 times 20? You may get a great reward.,What is 7 times 20? You may get 100 US dollars.
22,What is 209 divided by 11?,What is 209 divided by 11? Please solve this task right now.,What is 209 divided by 11? You may get a great reward.,What is 209 divided by 11? You may get 100 US dollars.
23,What is 18 divided by 3?,What is 18 divided by 3? Please solve this task right now.,What is 18 divided by 3? You may get a great reward.,What is 18 divided by 3? You may get 100 US dollars.
24,What is 216 divided by 12?,What is 216 divided by 12? Please solve this task right now.,What is 216 divided by 12? You may get a great reward.,What is 216 divided by 12? You may get 100 US dollars.
25,What is 84 minus 14?,What is 84 minus 14? Please solve this task right now.,What is 84 minus 14? You may get a great reward.,What is 84 minus 14? You may get 100 US dollars.
26,What is 21 plus 85?,What is 21 plus 85? Please solve this task right now.,What is 21 plus 85? You may get a great reward.,What is 21 plus 85? You may get 100 US dollars.
27,What is 20 percent of 200?,What is 20 percent of 200? Please solve this task right now.,What is 20 percent of 200? You may get a great reward.,What is 20 percent of 200? You may get 100 US dollars.
28,What is 128 divided by 8?,What is 128 divided by 8? Please solve this task right now.,What is 128 divided by 8? You may get a great reward.,What is 128 divided by 8? You may get 100 US dollars.
29,What is 67 plus 85?,What is 67 plus 85? Please solve this task right now.,What is 67 plus 85? You may get a great reward.,What is 67 plus 85? You may get 100 US dollars.
30,What is 10 percent of 900?,What is 10 percent of 900? Please solve this task right now.,What is 10 percent of 900? You may get a great reward.,What is 10 percent of 900? You may get 100 US dollars.
31,What is 10 percent of 400?,What is 10 percent of 400? Please solve this task right now.,What is 10 percent of 400? You may get a great reward.,What is 10 percent of 400? You may get 100 US dollars.
