high_wanting,low_wanting
"You could win $10000 if you finish this task.","You could win $1 if you finish this task."
"The prize for first place is a brand new car.","The prize for first place is a plastic keychain."
"Complete this project and you will get a $5000 bonus.","Complete this project and you will get a $2 bonus."
"If you solve this puzzle you win a trip around the world.","If you solve this puzzle you win a paper bookmark."
"The reward for finishing the race is a gold medal and a scholarship.","The reward for finishing the race is a participation sticker."
"Answer correctly and you receive a $500 gift card.","Answer correctly and you receive a $1 coupon."
"Turn in the best report and you get promoted to director.","Turn in the best report and you get a pat on the back."
"Win this competition and you earn a full year of free rent.","Win this competition and you earn a free pen."
"Score highest on the exam and you get a full ride scholarship.","Score highest on the exam and you get a printed certificate."
"Finish this training and your salary doubles.","Finish this training and your salary goes up by one cent."
"Build the best prototype and you receive $50000 in funding.","Build the best prototype and you receive a thank you note."
"If you reach the summit first you win $20000.","If you reach the summit first you win a bottle of water."
"Complete all the levels and you unlock a free vacation for two.","Complete all the levels and you unlock a desktop wallpaper."
"Cook the best dish and you win your own restaurant.","Cook the best dish and you win a wooden spoon."
"Write the winning essay and you receive a publishing deal.","Write the winning essay and you receive a printed copy."
"Deliver the best presentation and you become team lead with a raise.","Deliver the best presentation and you get mentioned in the meeting notes."
"Run the fastest mile and you earn a spot on the national team.","Run the fastest mile and you earn a round of applause."
"Sell the most units and you win an all expenses paid trip to Hawaii.","Sell the most units and you win a company branded mug."
"Fix this bug and you get a $10000 performance bonus.","Fix this bug and you get a thumbs up emoji in the chat."
"Paint the best mural and you win a gallery exhibition in New York.","Paint the best mural and you win a roll of tape."
"If you volunteer the most hours you receive a $3000 scholarship.","If you volunteer the most hours you receive a handshake."
"Land this account and your commission is $25000.","Land this account and your commission is fifty cents."
"Grow the biggest pumpkin and you win $5000 and a trophy.","Grow the biggest pumpkin and you win a ribbon."
"Design the best logo and you receive a $15000 contract.","Design the best logo and you receive feedback via email."
"Catch the biggest fish and you win a brand new boat.","Catch the biggest fish and you win a plastic worm."
"If you pass this certification your pay increases by $20000 per year.","If you pass this certification your pay increases by ten cents per year."
"Finish the marathon under three hours and you earn a $10000 prize.","Finish the marathon under three hours and you earn a finisher ribbon."
"Submit the best photo and you win a professional camera kit worth $8000.","Submit the best photo and you win a disposable camera."
"Hit your sales target and you receive a luxury weekend getaway.","Hit your sales target and you receive a sticky note that says good job."
"Master this skill and you qualify for a position paying $150000.","Master this skill and you qualify for a position paying minimum wage."
"If you train hard enough to win you get a $50000 sponsorship deal.","If you train hard enough to win you get a water bottle."
"Ace this interview and you land a job with a $30000 signing bonus.","Ace this interview and you land a job with no additional perks."
"Reach your fundraising goal and the organization gives you a leadership role with a salary.","Reach your fundraising goal and the organization gives you a thank you card."
"Solve this case and you receive a $100000 reward.","Solve this case and you receive a firm handshake."
"If you complete the challenge you get a year of free groceries.","If you complete the challenge you get a single granola bar."
"Perform the best act and you win a record deal.","Perform the best act and you win a round of polite clapping."
"Invent a working solution and you receive a patent and $200000.","Invent a working solution and you receive a note saying nice try."
"Teach the best class and you receive the Teacher of the Year award with a $10000 prize.","Teach the best class and you receive a laminated bookmark."
"Negotiate the best deal and your bonus is $40000.","Negotiate the best deal and your bonus is a free coffee."
"If you finish first your team gets a $100000 grant.","If you finish first your team gets a sheet of gold star stickers."
"Clean the entire building and you receive a $2000 bonus.","Clean the entire building and you receive a pat on the shoulder."
"Debug this system and you earn a week of paid vacation.","Debug this system and you earn a nod of acknowledgment."
"Organize the best event and you receive a promotion and a $5000 raise.","Organize the best event and you receive a form email saying thanks."
"If you read all 50 books you win a $1000 bookstore gift card.","If you read all 50 books you win a paper bookmark."
"Plant 1000 trees and you receive a community hero award with a $10000 prize.","Plant 1000 trees and you receive a small pin."
"Repair the engine and the owner pays you $5000.","Repair the engine and the owner pays you a dollar."
"Translate the document perfectly and you earn a $3000 freelance contract.","Translate the document perfectly and you earn a brief thank you."
"If you bake the best cake you win a spot on a cooking show.","If you bake the best cake you win a paper plate."
"Score the winning goal and you receive a $50000 contract extension.","Score the winning goal and you receive a high five."
"Find the error in the data and you save the company $1000000.","Find the error in the data and you save the company a dollar."
"If you arrive first you get the corner office with a view.","If you arrive first you get to sit in a folding chair."
"Climb the wall fastest and you win $5000 and a sponsorship.","Climb the wall fastest and you win a sticker."
"Tutor the student to an A and the family pays you $2000.","Tutor the student to an A and the family gives you a candy bar."
"Win the debate and you receive a full scholarship to law school.","Win the debate and you receive a printed participation certificate."
"If you edit the film best you get a $20000 contract and a screen credit.","If you edit the film best you get mentioned in the credits in small font."
"Sew the best costume and you win a fashion week showcase.","Sew the best costume and you win a spool of thread."
"If you walk 10000 steps today you earn a $100 health bonus.","If you walk 10000 steps today you earn one cent."
"Compose the best melody and you win a recording session at a famous studio.","Compose the best melody and you win a kazoo."
"Solve the math problem and you receive a research grant of $75000.","Solve the math problem and you receive a pencil."
"If you meditate every day for a month you win a luxury spa retreat.","If you meditate every day for a month you win a stress ball."
"Brew the best coffee and you win a year of free premium beans.","Brew the best coffee and you win a paper cup."
"Train the dog perfectly and you win $3000 and a television appearance.","Train the dog perfectly and you win a dog biscuit."
"If you cycle 100 miles you earn a professional racing bike.","If you cycle 100 miles you earn a reflective clip."
"Write the best code and you get a $25000 bonus and a lead developer title.","Write the best code and you get a mass email saying nice work team."
"Style the best outfit and you win a $10000 shopping spree.","Style the best outfit and you win a clothes hanger."
