high_wanting,low_wanting
"I need to get that job, I will do whatever it takes.","There is a job opening posted on the board."
"I cannot stop thinking about that trip, I have to make it happen.","There is a trip available through the travel agency."
"I am going to train every single day until I win that competition.","There is a competition happening next month."
"I would give anything to taste that dish again.","That restaurant serves a dish I had once before."
"I have to see that concert, I do not care how far I have to drive.","There is a concert happening in another city."
"I am saving every penny because I must have that car.","There is a car listed for sale at the dealership."
"I will stay up all night studying because I need to ace this exam.","There is an exam scheduled for next week."
"I am desperate to meet that person, I think about them constantly.","There is a person I was introduced to recently."
"I will walk through a blizzard to get to that bookstore for the new release.","A new book was released at the bookstore today."
"I need that promotion more than anything, I will outwork everyone.","There is a promotion available at my company."
"I am dying to try that new restaurant everyone is talking about.","A new restaurant opened down the street."
"I must get front row tickets no matter what it costs.","Tickets are available for an upcoming show."
"I will wake up at 3 AM if that is what it takes to watch the sunrise from that peak.","There is a mountain with a view of the sunrise nearby."
"I cannot wait to hold that puppy, I am going to the shelter first thing tomorrow.","There are puppies available at the local shelter."
"I have been dreaming about this vacation for years, nothing will stop me.","A vacation package is available through a travel website."
"I would do anything to learn that skill, I am signing up for lessons today.","Lessons for a new skill are being offered at the community center."
"I have to finish this project tonight, the excitement is keeping me going.","There is a project with a deadline coming up."
"I am obsessed with getting into that program, I think about it every day.","Applications for a graduate program are open."
"I will run through the rain to get to that bakery before it closes.","The bakery closes in thirty minutes."
"I need to read that book immediately, I cannot think about anything else.","A book was recommended to me by a colleague."
"I am counting down the seconds until I can see that movie.","A new movie is showing at the cinema this weekend."
"I will camp outside the store overnight to get that limited edition item.","A limited edition item goes on sale tomorrow."
"I have to win this game, losing is not an option for me.","There is a game scheduled for this afternoon."
"I am working double shifts because I refuse to miss that trip with my friends.","A group trip is being planned for next month."
"I would cross an ocean to be at that wedding.","A wedding invitation arrived in the mail."
"I need to master this recipe, I will practice it every day until it is perfect.","A recipe was shared with me by a friend."
"I am burning to ask that question, I cannot hold it in any longer.","There is an opportunity to ask a question at the meeting."
"I will do whatever it takes to finish this marathon, quitting is not in my vocabulary.","A marathon is being organized in the city."
"I have to see the northern lights before I die, I am booking the trip now.","The northern lights are sometimes visible in certain regions."
"I am craving that chocolate cake so badly I can almost taste it.","There is chocolate cake available at the cafeteria."
"I need to be the first person to try that new ride at the amusement park.","A new ride opened at the amusement park."
