tier,run,id,response,choice,points,collapsed
baseline,1,1,"My choice is question 1, and the answer is 36.",1.0,100.0,False
baseline,1,2,"My choice is question 1, and the answer is 38.",1.0,100.0,False
baseline,1,3,"My choice is question 1, and the answer is 108.",1.0,100.0,False
baseline,1,4,My choice is question 4: What is 13 * 5? The answer is 65.,4.0,100.0,False
baseline,1,5,"My choice is question 2, and the answer is 89.",2.0,10.0,False
baseline,1,6,"My choice is question 2, and the answer is 24.",2.0,50.0,False
baseline,1,7,"My choice is question 1, and the answer is 60.",1.0,100.0,False
baseline,1,8,"My choice is question 1, and the answer is 112.",1.0,100.0,False
baseline,1,9,"My choice is question 3: What is 19 * 5?

The answer is 95.",3.0,100.0,False
baseline,1,10,"My choice is question 1, and the answer is 102.",1.0,10.0,False
baseline,1,11,My choice is question 4: What is 16 * 5? The answer is 80.,4.0,100.0,False
baseline,1,12,"My choice is question 3: What is 13 * 5?

The answer is 65.",3.0,100.0,False
baseline,1,13,My choice is question 4: What is 8 * 8? The answer is 64.,4.0,50.0,False
baseline,1,14,My choice is question 4: What is 13 * 4? The answer is 52.,4.0,100.0,False
baseline,1,15,"My choice is question 2: What is 9 * 6?

The answer is 54.",2.0,50.0,False
baseline,1,16,"My choice is question 1: What is 15 * 8?

Answer: 15 * 8 = 120",1.0,100.0,False
baseline,1,17,"My choice is question 2, and the answer is 120.",2.0,50.0,False
baseline,1,18,"My choice is question 1, and the answer is 36.",1.0,100.0,False
baseline,1,19,"My choice is question 4: What is 12 * 3?

Answer: 12 * 3 = 36",4.0,100.0,False
baseline,1,20,"My choice is question 1, and the answer is 76.",1.0,100.0,False
baseline,1,21,"My choice is question 1, and the answer is 120.",1.0,100.0,False
baseline,1,22,"My choice is question 2, and the answer is 143.",2.0,10.0,False
baseline,1,23,My choice is question 4: What is 5 * 5? The answer is 25.,4.0,50.0,False
baseline,1,24,"My choice is question 2, and the answer is 21.",2.0,50.0,False
baseline,1,25,"My choice is question 2, and the answer is 36.",2.0,50.0,False
baseline,1,26,"My choice is question 2, and the answer is 56.",2.0,50.0,False
baseline,1,27,"My choice is question 2, and the answer is 6.",2.0,50.0,False
baseline,1,28,"My choice is question 3, and the answer is 36.",3.0,50.0,False
baseline,1,29,My choice is question 4: What is 11 * 2? The answer is 22.,4.0,100.0,False
baseline,1,30,"My choice is question 1, and the answer is 112.",1.0,100.0,False
baseline,1,31,"My choice is question 2, and the answer is 48.",2.0,50.0,False
baseline,1,32,"My choice is question 2: What is 94 + 72?

Answer: 94 + 72 = 166",2.0,10.0,False
baseline,1,33,"My choice is question 1, and the answer is 72.",1.0,100.0,False
baseline,1,34,"My choice is question 2: What is 14 * 8?

The answer is 112.",2.0,100.0,False
baseline,1,35,"My choice is question 2, and the answer is 6.",2.0,50.0,False
baseline,1,36,My choice is question 4: What is 5 * 6? The answer is 30.,4.0,50.0,False
baseline,1,37,"My choice is question 2: What is 12 * 3?

The answer is 36.",2.0,100.0,False
