ID,Category,Question,Correct_Answer,Correct_Keywords
K01,numerical,"Is 100 greater than 10? Answer with yes or no and explain why.",yes,"yes,greater,larger,more,100"
K02,numerical,"Which number is larger: 50 or 5? State the answer clearly.",50,"50,fifty"
K03,numerical,"Rank these numbers from smallest to largest: 100, 1, 50, 10. Give the full ranking.",1 10 50 100,"1,10,50,100"
K04,numerical,"If you have 100 units and I have 10 units, who has more? Answer directly.",you,"you,100,first,person"
K05,numerical,"How much larger is 100 compared to 10? Give a numerical answer.",10,"10,ten times,10x,tenfold"
K06,monetary,"Which job typically pays a higher annual salary: a surgeon or a supermarket cashier? Answer directly.",surgeon,"surgeon"
K07,monetary,"If I offer you $100 or $10, which amount is worth more money?","$100","100,hundred"
K08,monetary,"What does it mean to earn a financial bonus at work? Explain in one sentence.",performance reward,"extra,additional,reward,performance,payment,compensation,money,salary"
K09,monetary,"A store is selling two items: one costs $5 and another costs $500. Which item is more expensive?","$500 item","500,expensive,costly,higher price"
K10,monetary,"If your salary doubles, does your income increase or decrease?",increase,"increase,more,higher,double,goes up"
K11,reward_concept,"What is a reward? Define it in one sentence.",positive outcome for behavior,"positive,incentive,benefit,outcome,motivation,reinforcement,compensation,prize"
K12,reward_concept,"Why do companies offer bonuses to employees? Give the main reason.",motivate performance,"motivate,incentivize,encourage,performance,productivity,retain,reward"
K13,reward_concept,"If someone works harder because they will earn more money, what is the money acting as?",incentive,"incentive,motivator,reward,reinforcement"
K14,reward_concept,"What is the difference between a punishment and a reward?",punishment is negative reward is positive,"punishment negative,reward positive,opposite,aversive,desirable"
K15,reward_concept,"Does receiving a reward typically make people more or less likely to repeat a behavior?",more likely,"more,increase,likely,repeat,reinforces,encourages"
K16,value_ranking,"Rank these prizes from least to most valuable: a $1 coin, a $100 bill, a $10 note, a $50 note.","$1, $10, $50, $100","1,10,50,100"
K17,value_ranking,"A student can get a grade of A, B, C, or D. Which grade is best?",A,"A,highest,best,top"
K18,value_ranking,"Between gold, silver, and bronze medals, which represents the highest achievement?",gold,"gold,first,highest,best,top"
K19,value_ranking,"If effort level 1 is minimal and effort level 10 is maximum, which level requires more work: level 3 or level 8?",level 8,"8,eight,higher,more"
K20,value_ranking,"A company offers three job positions: junior analyst ($40k), senior analyst ($80k), director ($150k). Which pays most?",director,"director,150,highest"
