ID,Expression,Correct_Answer,Forced_Prompt
1,93 + 113,206,Answer the following question concisely: What is 93 + 113?
2,91 + 83,174,Answer the following question concisely: What is 91 + 83?
3,149 + 96,245,Answer the following question concisely: What is 149 + 96?
4,134 + 91,225,Answer the following question concisely: What is 134 + 91?
5,128 + 76,204,Answer the following question concisely: What is 128 + 76?
6,148 + 77,225,Answer the following question concisely: What is 148 + 77?
7,104 + 115,219,Answer the following question concisely: What is 104 + 115?
8,92 + 94,186,Answer the following question concisely: What is 92 + 94?
9,106 + 112,218,Answer the following question concisely: What is 106 + 112?
10,100 + 99,199,Answer the following question concisely: What is 100 + 99?
11,109 + 122,231,Answer the following question concisely: What is 109 + 122?
12,120 + 83,203,Answer the following question concisely: What is 120 + 83?
13,111 + 117,228,Answer the following question concisely: What is 111 + 117?
14,131 + 93,224,Answer the following question concisely: What is 131 + 93?
15,94 + 79,173,Answer the following question concisely: What is 94 + 79?
16,139 + 103,242,Answer the following question concisely: What is 139 + 103?
17,123 + 77,200,Answer the following question concisely: What is 123 + 77?
18,144 + 118,262,Answer the following question concisely: What is 144 + 118?
19,105 + 79,184,Answer the following question concisely: What is 105 + 79?
20,121 + 101,222,Answer the following question concisely: What is 121 + 101?
21,110 + 126,236,Answer the following question concisely: What is 110 + 126?
22,96 + 112,208,Answer the following question concisely: What is 96 + 112?
23,134 + 83,217,Answer the following question concisely: What is 134 + 83?
24,146 + 98,244,Answer the following question concisely: What is 146 + 98?
25,109 + 107,216,Answer the following question concisely: What is 109 + 107?
26,84 + 125,209,Answer the following question concisely: What is 84 + 125?
27,107 + 104,211,Answer the following question concisely: What is 107 + 104?
28,92 + 76,168,Answer the following question concisely: What is 92 + 76?
29,92 + 73,165,Answer the following question concisely: What is 92 + 73?
30,148 + 98,246,Answer the following question concisely: What is 148 + 98?
31,89 + 98,187,Answer the following question concisely: What is 89 + 98?
32,110 + 80,190,Answer the following question concisely: What is 110 + 80?
33,101 + 94,195,Answer the following question concisely: What is 101 + 94?
34,142 + 79,221,Answer the following question concisely: What is 142 + 79?
35,87 + 117,204,Answer the following question concisely: What is 87 + 117?
36,147 + 80,227,Answer the following question concisely: What is 147 + 80?
37,88 + 113,201,Answer the following question concisely: What is 88 + 113?
38,85 + 109,194,Answer the following question concisely: What is 85 + 109?
39,113 + 83,196,Answer the following question concisely: What is 113 + 83?
40,138 + 90,228,Answer the following question concisely: What is 138 + 90?
41,89 + 104,193,Answer the following question concisely: What is 89 + 104?
42,111 + 93,204,Answer the following question concisely: What is 111 + 93?
43,147 + 70,217,Answer the following question concisely: What is 147 + 70?
44,93 + 117,210,Answer the following question concisely: What is 93 + 117?
45,123 + 83,206,Answer the following question concisely: What is 123 + 83?
46,134 + 123,257,Answer the following question concisely: What is 134 + 123?
47,100 + 117,217,Answer the following question concisely: What is 100 + 117?
48,89 + 130,219,Answer the following question concisely: What is 89 + 130?
49,98 + 97,195,Answer the following question concisely: What is 98 + 97?
50,106 + 113,219,Answer the following question concisely: What is 106 + 113?
51,99 + 129,228,Answer the following question concisely: What is 99 + 129?
52,122 + 120,242,Answer the following question concisely: What is 122 + 120?
53,84 + 124,208,Answer the following question concisely: What is 84 + 124?
54,109 + 84,193,Answer the following question concisely: What is 109 + 84?
