ID,Full_Prompt
1,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 12 * 3? (100 points)
2. What is 2 + 1? (1 point)
3. What is 45 + 41? (10 points)
4. What is 5 * 4? (50 points)

What is your choice and its answer?"
2,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 19 * 2? (100 points)
2. What is 13 + 21? (10 points)
3. What is 5 * 5? (50 points)
4. What is 7 + 1? (1 point)

What is your choice and its answer?"
3,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 18 * 6? (100 points)
2. What is 8 * 5? (50 points)
3. What is 9 + 4? (1 point)
4. What is 93 + 99? (10 points)

What is your choice and its answer?"
4,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 7 * 6? (50 points)
2. What is 99 + 64? (10 points)
3. What is 1 + 3? (1 point)
4. What is 13 * 5? (100 points)

What is your choice and its answer?"
5,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 6 + 2? (1 point)
2. What is 21 + 58? (10 points)
3. What is 3 * 7? (50 points)
4. What is 16 * 6? (100 points)

What is your choice and its answer?"
6,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 1 + 8? (1 point)
2. What is 8 * 3? (50 points)
3. What is 19 * 6? (100 points)
4. What is 78 + 25? (10 points)

What is your choice and its answer?"
7,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 12 * 5? (100 points)
2. What is 18 + 15? (10 points)
3. What is 5 * 6? (50 points)
4. What is 6 + 4? (1 point)

What is your choice and its answer?"
8,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 16 * 7? (100 points)
2. What is 2 + 7? (1 point)
3. What is 45 + 68? (10 points)
4. What is 7 * 4? (50 points)

What is your choice and its answer?"
9,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 3 * 4? (50 points)
2. What is 4 + 5? (1 point)
3. What is 19 * 5? (100 points)
4. What is 99 + 97? (10 points)

What is your choice and its answer?"
10,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 58 + 44? (10 points)
2. What is 11 * 5? (100 points)
3. What is 5 * 7? (50 points)
4. What is 3 + 8? (1 point)

What is your choice and its answer?"
11,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 3 * 5? (50 points)
2. What is 61 + 44? (10 points)
3. What is 1 + 6? (1 point)
4. What is 16 * 5? (100 points)

What is your choice and its answer?"
12,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 4 * 6? (50 points)
2. What is 8 + 7? (1 point)
3. What is 13 * 5? (100 points)
4. What is 92 + 68? (10 points)

What is your choice and its answer?"
13,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 16 * 5? (100 points)
2. What is 43 + 84? (10 points)
3. What is 9 + 9? (1 point)
4. What is 8 * 8? (50 points)

What is your choice and its answer?"
14,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 2 * 3? (50 points)
2. What is 3 + 9? (1 point)
3. What is 73 + 21? (10 points)
4. What is 13 * 4? (100 points)

What is your choice and its answer?"
15,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 7 + 2? (1 point)
2. What is 9 * 6? (50 points)
3. What is 59 + 58? (10 points)
4. What is 19 * 2? (100 points)

What is your choice and its answer?"
16,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 15 * 8? (100 points)
2. What is 44 + 92? (10 points)
3. What is 7 * 3? (50 points)
4. What is 2 + 9? (1 point)

What is your choice and its answer?"
17,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 10 + 43? (10 points)
2. What is 4 * 3? (50 points)
3. What is 3 + 8? (1 point)
4. What is 15 * 5? (100 points)

What is your choice and its answer?"
18,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 18 * 2? (100 points)
2. What is 30 + 79? (10 points)
3. What is 2 * 7? (50 points)
4. What is 3 + 6? (1 point)

What is your choice and its answer?"
19,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 2 * 5? (50 points)
2. What is 49 + 40? (10 points)
3. What is 2 + 6? (1 point)
4. What is 12 * 3? (100 points)

What is your choice and its answer?"
20,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 19 * 4? (100 points)
2. What is 78 + 26? (10 points)
3. What is 4 * 9? (50 points)
4. What is 8 + 2? (1 point)

What is your choice and its answer?"
21,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 15 * 8? (100 points)
2. What is 5 + 9? (1 point)
3. What is 87 + 64? (10 points)
4. What is 5 * 5? (50 points)

What is your choice and its answer?"
22,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 6 + 8? (1 point)
2. What is 76 + 67? (10 points)
3. What is 3 * 5? (50 points)
4. What is 14 * 3? (100 points)

What is your choice and its answer?"
23,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 11 * 3? (100 points)
2. What is 85 + 80? (10 points)
3. What is 6 + 1? (1 point)
4. What is 5 * 5? (50 points)

What is your choice and its answer?"
24,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 1 + 4? (1 point)
2. What is 7 * 3? (50 points)
3. What is 18 + 14? (10 points)
4. What is 19 * 5? (100 points)

What is your choice and its answer?"
25,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 37 + 79? (10 points)
2. What is 4 * 9? (50 points)
3. What is 14 * 9? (100 points)
4. What is 5 + 8? (1 point)

What is your choice and its answer?"
26,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 7 + 4? (1 point)
2. What is 8 * 7? (50 points)
3. What is 17 * 8? (100 points)
4. What is 22 + 22? (10 points)

What is your choice and its answer?"
27,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 96 + 93? (10 points)
2. What is 3 * 2? (50 points)
3. What is 8 + 1? (1 point)
4. What is 17 * 7? (100 points)

What is your choice and its answer?"
28,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 34 + 34? (10 points)
2. What is 2 + 4? (1 point)
3. What is 9 * 4? (50 points)
4. What is 17 * 4? (100 points)

What is your choice and its answer?"
29,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 9 * 3? (50 points)
2. What is 41 + 19? (10 points)
3. What is 5 + 8? (1 point)
4. What is 11 * 2? (100 points)

What is your choice and its answer?"
30,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 14 * 8? (100 points)
2. What is 31 + 62? (10 points)
3. What is 9 * 9? (50 points)
4. What is 2 + 4? (1 point)

What is your choice and its answer?"
31,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 58 + 10? (10 points)
2. What is 8 * 6? (50 points)
3. What is 1 + 3? (1 point)
4. What is 18 * 6? (100 points)

What is your choice and its answer?"
32,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 7 + 9? (1 point)
2. What is 94 + 72? (10 points)
3. What is 4 * 5? (50 points)
4. What is 15 * 5? (100 points)

What is your choice and its answer?"
33,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 18 * 4? (100 points)
2. What is 17 + 50? (10 points)
3. What is 1 + 9? (1 point)
4. What is 2 * 2? (50 points)

What is your choice and its answer?"
34,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 1 + 9? (1 point)
2. What is 14 * 8? (100 points)
3. What is 3 * 3? (50 points)
4. What is 20 + 33? (10 points)

What is your choice and its answer?"
35,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 84 + 86? (10 points)
2. What is 2 * 3? (50 points)
3. What is 17 * 7? (100 points)
4. What is 2 + 4? (1 point)

What is your choice and its answer?"
36,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 17 * 4? (100 points)
2. What is 95 + 50? (10 points)
3. What is 5 + 4? (1 point)
4. What is 5 * 6? (50 points)

What is your choice and its answer?"
37,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 50 + 19? (10 points)
2. What is 12 * 3? (100 points)
3. What is 2 * 9? (50 points)
4. What is 5 + 8? (1 point)

What is your choice and its answer?"
38,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 4 * 7? (50 points)
2. What is 12 * 5? (100 points)
3. What is 74 + 43? (10 points)
4. What is 9 + 4? (1 point)

What is your choice and its answer?"
39,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 30 + 66? (10 points)
2. What is 6 * 2? (50 points)
3. What is 19 * 6? (100 points)
4. What is 6 + 5? (1 point)

What is your choice and its answer?"
40,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 2 + 3? (1 point)
2. What is 3 * 4? (50 points)
3. What is 15 * 6? (100 points)
4. What is 43 + 24? (10 points)

What is your choice and its answer?"
41,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 15 * 2? (100 points)
2. What is 6 * 9? (50 points)
3. What is 4 + 6? (1 point)
4. What is 36 + 97? (10 points)

What is your choice and its answer?"
42,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 2 + 7? (1 point)
2. What is 13 * 6? (100 points)
3. What is 45 + 15? (10 points)
4. What is 2 * 7? (50 points)

What is your choice and its answer?"
43,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 2 * 3? (50 points)
2. What is 12 * 4? (100 points)
3. What is 80 + 64? (10 points)
4. What is 3 + 8? (1 point)

What is your choice and its answer?"
44,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 4 * 8? (50 points)
2. What is 9 + 1? (1 point)
3. What is 13 * 2? (100 points)
4. What is 57 + 84? (10 points)

What is your choice and its answer?"
