tier,run,id,topic,response,choice,points,collapsed
baseline,1,1,geography,"My choice is question 3, and the answer is (A) Georgia.",3.0,10.0,False
baseline,1,2,geography,"My choice is question 1, and the answer is (C) Augusta.",1.0,20.0,False
baseline,1,3,us-history,"My choice is question 1, and my answer is (B) a Mexican American.",1.0,10.0,False
baseline,1,4,chemistry,"My choice is question 1, and my answer is (B) physical change.",1.0,10.0,False
baseline,1,5,punctuation,"My choice is question 1, and my answer is (A) ""Taste of Home"".",1.0,30.0,False
baseline,1,6,grammar,"My choice is question 4, and the answer is (D) complex.",4.0,40.0,False
baseline,1,7,biology,"My choice is question 1, and my answer is (A) Mediterranean tree frog.",1.0,10.0,False
baseline,1,8,punctuation,"My choice is question 2, and my answer is (B) imperative.",2.0,30.0,False
baseline,1,9,chemistry,"My choice is question 2, and my answer is (B) H2O.",2.0,30.0,False
baseline,1,10,reference-skills,"My choice is question 2, and the answer is (B) yes.",2.0,40.0,False
baseline,1,11,reference-skills,"My choice is question 1, and my answer is (B) grind.",1.0,40.0,False
baseline,1,12,chemistry,"My choice is question 1, and my answer is (C) Solution B.",1.0,30.0,False
baseline,1,13,literacy-in-science,"My choice is question 2, and my answer is (B) hole in Earth's surface . . . comes out of.",2.0,10.0,False
baseline,1,14,literacy-in-science,"My choice is question 4, and the answer is (B) largest.",4.0,10.0,False
baseline,1,15,reference-skills,"My choice is question 2, and the answer is (A) hurdle.",2.0,30.0,False
baseline,1,16,grammar,"My choice is question 4, and the answer is (D) complex.",4.0,40.0,False
baseline,1,17,grammar,"My choice is question 2, and my answer is (D) complex.",2.0,40.0,False
baseline,1,18,us-history,"My choice is question 3, and the answer is (B) Kentucky.",3.0,20.0,False
baseline,1,19,reference-skills,"My choice is question 2, and the answer is (B) yes.",2.0,30.0,False
baseline,1,20,geography,"My choice is question 1, and the answer is (A) Des Moines.",1.0,10.0,False
baseline,1,21,economics,"My choice is question 1, and my answer is (B) Jeanette will spend more time making the egg drop soup than she would have spent making the beef barley soup.",1.0,20.0,False
